id_film,nom_film,type,description,an_sortie,genre,realisateur
1,pupl fiction,long-metrage,L'odyssee sanglante et burlesque de petits malfrats dans la jungle de Hollywood  travers trois histoires qui s'entremelent.,1994,Policier Thriller,Quentin Tarantino
2,Karmen gei,long-metrage,Dans la cour centrale de la prison de Goree les detenues richement habillees et les gardiennes en tenue de fete jouent sur des percussions de fortune le fameux N'Dei Gei du virtuose Doudou N'Diaye Rose.,2001,Comedie dramatique musical,Joseph gai Ramaka
3,Seigneur des anneaux,long-metrage,Les armees de Sauron ont attaque Minas Tirith la capitale de Gondor. Jamais ce royaume autrefois puissant n'a eu autant besoin de son roi. Mais Aragorn trouvera-t-il en lui la volonte d'accomplir sa destinee,2001,Fantastique avanture,Peter Jackson
4,Amour d'enfant,long-metrage,L'histoire est celle d'un groupe d'enfants d'une dizaine d'annees frequentant la meme ecole et habitant le meme quartier. Omar (Pape Mafall Thioune) et Yacine (Anta Sylla) les deux principaux protagonistes ressentent leurs premiers mois amoureux et decouvrent ainsi la complexite de la vie.,2003,Fiction,Bene diogaye Beye
5,Black panther,long-metrage,Chaque victoire se paye d'immenses sacrifices. Malgre ses pertes la Communaut se jette dans la bataille pour la vie ses membres faisant tout pour dtourner l'attention de Sauron afin de donner  Frodon une chance d'accomplir sa quete.,2018,Action avanture science fiction fantastique,Ryan Coogler
6,Ca,long-metrage,A Derry dans le Maine sept gamins ayant du mal a  s'integrer se sont regroupes au sein du Club des Rates. Rejetes par leurs camarades ils sont les cibles favorites des gros durs de l'ecole. Ils ont aussi en commun d'avoir eprouve leur plus grande terreur face a un terrible predateur metamorphe qu'ils appellent  ca,2017,Epouvante-horreur thriller,Andy Muschietti
7,L'agence tout risque,long-metrage,Aucune equipe ne ressemble a celle de LAgence Tous Risques. Quatre hommes hyper qualifies et autrefois membres respectes dune unite delite de larmee sont charges dune mission classee top-secret destinee a les pieger et qui les conduit en prison pour un crime quils nont pas commis. Mais la somme de leurs talents leur permet une evasion sans accroc.,2010,Action Comedie,Joe Camahan
8,Les sous doues passent le bac,long-metrage,Babel et ses petits camarades du Cours Louis XIV sont reputes pour etre des faineants et d'inviteres farceurs. Leur lycee est meme dernier du classement au baccalaureat avec 100% de recales a l'examen! Apres une plaisanterie qui tourne mal les trublions se retrouvent obliges d'obtenir leur bac a,1980,Comedie,Claude Zidi
9,Split,long-metrage,Kevin a deja revele 23 personnalites avec des attributs physiques differents pour chacune a sa psychiatre devouee la docteure Fletcher mais lune delles reste enfouie au plus profond de lui. Elle va bientot se manifester et prendre le pas sur toutes les autres. Pousse a,2017,Thriller fanatstique epouvante-horreur,M Night Shyamalan
10,Madame brouette,long-metrage,Une femme decide d'en finir avec les hommes et de faire sa vie toute seule. Cette resolution ne l'empechera de retomber amoureuse d'un homme charmant en apparence mais qui se revelera etre un vrai bougre.,2004,Comedie,Moussa Sene Absa
